Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.12,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.03,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.12,.01,.01,.08,.00,.03,-.17,.06,.09,.15,.12,.04,.04
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.17,.14,.15,-.03,.05,.05,.04,-.09,.11,.15
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.29,-.31,-.21,-.30,-.20,-.18,-.07,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.13,-.18,-.15,-.09,-.09
1966,-.19,-.04,.04,-.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.02,-.06,-.06,-.10,-.07,.00,-.07
1967,-.08,-.21,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.26,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.15,-.08,-.07,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.03,-.05,.04,.08,.09,.12,.25,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.03,-.02,.02,-.10,.12,.03,.02,-.12,.03,.06,.18,.03,-.04,.06
1971,-.02,-.15,-.18,-.07,-.05,-.16,-.07,-.01,-.05,-.04,-.07,-.08,-.08,-.08,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.23,.19,.13,.05,.09,.10,.04,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.11,-.04,-.05,-.03,.10,-.08,-.06,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.02,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.21,-.07,-.20,-.12,-.10,-.12,-.07,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.18,.23,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.14,.06,.03,.13,.08,.07,.06,.06,.15,-.04,.07
1979,.08,-.10,.19,.15,.03,.14,.04,.17,.25,.26,.28,.48,.16,.13,.02,.13,.11,.26
1980,.29,.39,.29,.30,.35,.20,.22,.18,.20,.13,.29,.21,.26,.28,.39,.31,.20,.21
1981,.53,.42,.48,.32,.24,.29,.32,.35,.14,.12,.23,.41,.32,.30,.39,.35,.32,.16
1982,.05,.15,.03,.15,.18,.05,.14,.03,.14,.13,.18,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.42,.27,.34,.22,.18,.36,.37,.17,.30,.16,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.13,.06,-.04,.16,.17,.20,.22,.14,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.17,.13,.12,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.26,.24,.13,.09
1987,.32,.43,.18,.24,.25,.35,.40,.25,.35,.33,.29,.46,.32,.29,.29,.23,.33,.32
1988,.57,.44,.52,.43,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.17,.34,.33,.34,.29,.20,.37,.27,.27,.24,.27,.28,.28
1990,.41,.44,.80,.56,.45,.37,.46,.34,.23,.45,.46,.41,.45,.45,.41,.61,.39,.38
1991,.43,.50,.36,.51,.34,.53,.48,.39,.44,.29,.30,.32,.41,.41,.44,.40,.47,.34
1992,.48,.40,.48,.27,.31,.26,.09,.08,-.01,.07,.03,.22,.22,.23,.40,.36,.14,.03
1993,.34,.37,.36,.28,.28,.23,.25,.11,.11,.23,.04,.18,.23,.24,.31,.31,.20,.13
1994,.26,.02,.29,.42,.28,.43,.30,.21,.31,.43,.44,.39,.32,.30,.15,.33,.32,.39
1995,.52,.79,.47,.47,.27,.43,.45,.45,.33,.46,.45,.26,.45,.46,.57,.40,.45,.41
1996,.24,.46,.33,.33,.27,.25,.37,.48,.25,.22,.42,.37,.33,.32,.32,.31,.37,.30
1997,.32,.41,.52,.34,.35,.55,.34,.41,.52,.61,.64,.59,.47,.45,.37,.40,.43,.59
1998,.58,.88,.63,.64,.68,.77,.66,.65,.42,.42,.43,.55,.61,.61,.68,.65,.69,.42
1999,.48,.64,.32,.32,.26,.36,.38,.32,.39,.34,.37,.41,.38,.39,.56,.30,.35,.37
2000,.25,.56,.55,.56,.36,.40,.39,.42,.39,.27,.30,.28,.39,.40,.40,.49,.40,.32
2001,.45,.44,.55,.50,.57,.52,.59,.49,.52,.50,.72,.55,.53,.51,.39,.54,.53,.58
2002,.77,.78,.88,.58,.64,.53,.62,.54,.64,.54,.59,.44,.63,.64,.70,.70,.56,.59
2003,.74,.58,.60,.55,.61,.48,.58,.64,.62,.72,.53,.75,.62,.59,.59,.59,.57,.62
2004,.58,.73,.63,.61,.37,.44,.26,.45,.50,.61,.73,.50,.53,.55,.68,.54,.38,.61
2005,.75,.60,.74,.67,.63,.65,.61,.60,.72,.76,.74,.68,.68,.66,.62,.68,.62,.74
2006,.56,.74,.63,.47,.48,.66,.54,.71,.66,.71,.74,.79,.64,.63,.66,.53,.64,.70
2007,1.02,.70,.72,.76,.69,.61,.60,.60,.61,.59,.59,.50,.67,.69,.84,.72,.60,.60
2008,.30,.38,.75,.54,.50,.49,.60,.46,.61,.67,.70,.54,.54,.54,.39,.60,.52,.66
2009,.65,.53,.53,.61,.66,.64,.74,.69,.72,.65,.80,.67,.66,.65,.57,.60,.69,.72
2010,.75,.84,.92,.85,.76,.68,.63,.67,.63,.71,.82,.45,.73,.74,.75,.84,.66,.72
2011,.52,.48,.66,.64,.53,.63,.70,.75,.56,.65,.59,.60,.61,.60,.48,.61,.69,.60
2012,.47,.48,.57,.73,.78,.65,.59,.66,.72,.80,.78,.53,.65,.65,.52,.69,.63,.77
2013,.71,.62,.67,.53,.60,.70,.60,.71,.77,.69,.83,.70,.68,.66,.62,.60,.67,.77
2014,.77,.55,.78,.81,.87,.67,.58,.84,.88,.80,.67,.79,.75,.74,.67,.82,.70,.79
2015,.87,.91,.96,.75,.80,.81,.73,.80,.84,1.08,1.06,1.17,.90,.87,.86,.84,.78,.99
2016,1.18,1.37,1.35,1.09,.96,.81,.85,1.02,.90,.87,.91,.86,1.01,1.04,1.24,1.14,.89,.90
2017,1.02,1.14,1.17,.94,.91,.71,.82,.88,.74,.89,.87,.93,.92,.91,1.01,1.01,.80,.83
2018,.82,.85,.88,.89,.81,.77,.84,.78,.80,1.02,.83,.93,.85,.85,.87,.86,.79,.89
2019,.93,.96,1.17,1.01,.86,.90,.94,.95,.93,1.00,.99,1.12,.98,.96,.94,1.01,.93,.97
2020,1.18,1.24,1.18,1.12,.99,.91,.89,.86,.97,.87,1.09,.80,1.01,1.03,1.18,1.10,.89,.97
2021,.81,.64,.89,.76,.79,.85,.92,.81,.93,.99,.93,.87,.85,.84,.75,.81,.86,.95
2022,.91,.89,1.05,.84,.84,.92,.94,.95,.89,.97,.73,.80,.89,.90,.89,.91,.94,.86
2023,.88,.97,1.23,.99,.94,1.09,1.20,1.19,1.48,1.34,1.40,1.37,1.17,1.13,.88,1.05,1.16,1.41
2024,1.25,1.44,1.39,1.31,1.15,1.20,1.20,1.29,1.24,1.33,1.30,1.27,1.28,1.29,1.36,1.28,1.23,1.29
2025,1.38,1.26,1.36,1.23,1.08,1.05,1.02,1.16,1.25,1.19,1.21,1.05,1.19,1.21,1.30,1.22,1.08,1.22
